"ID","Description","Account type","DIMLIST","DRCRRECLASS","Offset account used in US Eliminations","EQUITYRCLS","EVDES_ENG","FA_01","FA_02","FA_03","FA_04","FA_05","FA_XX","INTERCO","MISC_CHECK","Rate type","RECLASS250","RECLASS253","RECLASS256","RECLASS258","RECLASS264","RECLASS265","RECLASS266","Scaling","Elimination Code","H1"
"28600927","Reversal Early Retirement Empl Benefits","LEQ","","","","","Reversal Early Retirement Empl Benefits","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600928","Accrued Early Retirement Workers Curr Yr","LEQ","","","","","Accrued Early Retirement Workers Curr Yr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600929","Reversal Early Retirement Workers Wages","LEQ","","","","","Reversal Early Retirement Workers Wages","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600930","Reversal Early Retirement Workers Benef","LEQ","","","","","Reversal Early Retirement Workers Benef","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600931","Accrued Sales Incentive CatCarr CurrYear","LEQ","","","","","Accrued Sales Incentive CatCarr CurrYear","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600932","Accrued Sales Incentive Constru CurrYear","LEQ","","","","","Accrued Sales Incentive Constru CurrYear","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600933","Accrued Sales Incentive IC Prior Year","LEQ","","","","","Accrued Sales Incentive IC Prior Year","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600934","Accrued Sales Incentive PC Prior Year","LEQ","","","","","Accrued Sales Incentive PC Prior Year","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600935","Accrued Sales Incentive PO Cat Prior Yr","LEQ","","","","","Accrued Sales Incentive PO Cat Prior Yr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600937","Accrued Sales Incentive Constr Prior Yr","LEQ","","","","","Accrued Sales Incentive Constr Prior Yr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600938","Accrued Incentive Tariff Empl Prior Year","LEQ","","","","","Accrued Incentive Tariff Empl Prior Year","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600939","Accrued Incentive Tariff Empl Curr Year","LEQ","","","","","Accrued Incentive Tariff Empl Curr Year","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600940","Accrued Incentive Tariff Workers PriorYr","LEQ","","","","","Accrued Incentive Tariff Workers PriorYr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600941","Accrued Incentive Tariff Workers Curr Yr","LEQ","","","","","Accrued Incentive Tariff Workers Curr Yr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600942","Reversal Early Retirement Salaries Offset","LEQ","","","","","Reversal Early Retirement Salaries Offset","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600027","Accrued Salaries for November Bonus Payment","LEQ","","","","","Accrued Salaries for November Bonus Payment","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600028","Accrued Salaries for November Bonus","LEQ","","","","","Accrued Salaries for November Bonus","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600029","Accrued Labor for November Bonus Payment","LEQ","","","","","Accrued Labor for November Bonus Payment","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600030","Accrued Labor for November Bonus","LEQ","","","","","Accrued Labor for November Bonus","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600031","Accrued Salaries for June Bonus Payment","LEQ","","","","","Accrued Salaries for June Bonus Payment","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600032","Accrued Salaries for June Bonus","LEQ","","","","","Accrued Salaries for June Bonus","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600033","Accrued Labor for June Bonus Payment","LEQ","","","","","Accrued Labor for June Bonus Payment","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600034","Accrued Labor for June Bonus","LEQ","","","","","Accrued Labor for June Bonus","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600036","Accrued Employers Association Salaries","LEQ","","","","","Accrued Employers Association Salaries","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600037","Accrued Employers Association Labor","LEQ","","","","","Accrued Employers Association Labor","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600038","Accrued Pension Association","LEQ","","","","","Accrued Pension Association","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600039","Accrued Jubilee","LEQ","","","","","Accrued Jubilee","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600040","Accrued Seriously Disabled Taxes","LEQ","","","","","Accrued Seriously Disabled Taxes","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600042","Accrued Early Retirement Empl PriorYear","LEQ","","","","","Accrued Early Retirement Empl PriorYear","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600043","Accrued Early Retirement Workers PriorYr","LEQ","","","","","Accrued Early Retirement Workers PriorYr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600044","Accrued Anniversary Bonus Empl PriorYear","LEQ","","","","","Accrued Anniversary Bonus Empl PriorYear","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600045","Accrued Anniversary Bonus Workers Pr Yr","LEQ","","","","","Accrued Anniversary Bonus Workers Pr Yr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600049","Accrued Salaries for Overtime","LEQ","","","","","Accrued Salaries for Overtime","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600050","Reserve Special German Partial Retirement","LEQ","","","","","Reserve Special German Partial Retirement","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600052","Accrued Labor for Overtime","LEQ","","","","","Accrued Labor for Overtime","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600900","Accrued Incentive NonTariffEmpl CurrYear","LEQ","","","","","Accrued Incentive NonTariffEmpl CurrYear","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600901","Accrued Sales Incentive IC Current Year","LEQ","","","","","Accrued Sales Incentive IC Current Year","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600902","Accrued Sales Incentive PC Current Year","LEQ","","","","","Accrued Sales Incentive PC Current Year","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600903","Accrued Sales Incentive PO-Cat Curr Year","LEQ","","","","","Accrued Sales Incentive PO-Cat Curr Year","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600904","Accrued Incentive NonTariffEmpl PriorYr","LEQ","","","","","Accrued Incentive NonTariffEmpl PriorYr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600905","Accrd Sals & Wgs - Outstndg Vacation Empl. Prr Yr","LEQ","","","","","Accrd Sals & Wgs - Outstndg Vacation Empl. Prr Yr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600906","Accrd Sals & Wgs -Outstndg Vacation Empl. Crrnt Yr","LEQ","","","","","Accrd Sals & Wgs -Outstndg Vacation Empl. Crrnt Yr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600907","Accrued Outstndg Vacation Workers Pr Yr","LEQ","","","","","Accrued Outstndg Vacation Workers Pr Yr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600908","Accrued Outstndg Vacation Workers CurrYr","LEQ","","","","","Accrued Outstndg Vacation Workers CurrYr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600909","Accrued Annual Premium Empl OffsetAcc Dr","LEQ","","","","","Accrued Annual Premium Empl OffsetAcc Dr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600910","Accrued Annual Premium Empl OffsetAcc Cr","LEQ","","","","","Accrued Annual Premium Empl OffsetAcc Cr","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28401510","Tax Office Vienna","LEQ","","","","","Tax Office Vienna","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
